id	name	symbol	chromosome	start	stop
PA397	ATP binding cassette subfamily C member 4	ABCC4	13	95019829 	95301550 
PA395	ATP binding cassette subfamily C member 5	ABCC5	3	183919934 	184018010 
PA58	ATP binding cassette subfamily C member 6	ABCC6	16	16149565 	16223616 
PA24395	ATP binding cassette subfamily C member 8	ABCC8	11	17392885 	17476870 
PA396	ATP binding cassette subfamily C member 9	ABCC9	12	21797389 	21941869 
PA24396	ATP binding cassette subfamily D member 1	ABCD1	X	153724851 	153744762 
PA24397	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1"	ABCD1P1	2		
PA24398	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2"	ABCD1P2	10	38601416 	38605609 
PA24399	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3"	ABCD1P3	16	32474823 	32475807 
PA24400	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4"	ABCD1P4	22	16387689 	16391884 
PA24401	ATP binding cassette subfamily D member 2	ABCD2	12	39530966 	39651333 
PA24402	ATP binding cassette subfamily D member 3	ABCD3	1	94385106 	94518663 
PA24403	ATP binding cassette subfamily D member 4	ABCD4	14	74285277 	74303064 
PA24404	ATP binding cassette subfamily E member 1	ABCE1	4	145098004 	145129524 
PA24405	ATP binding cassette subfamily F member 1	ABCF1	6	30571393 	30591532 
PA24406	ATP binding cassette subfamily F member 2	ABCF2	7	151207837 	151227374 
PA24407	ATP binding cassette subfamily F member 3	ABCF3	3	184186075 	184194012 
PA24408	ATP binding cassette subfamily G member 1	ABCG1	21	42199689 	42304389 
PA390	ATP binding cassette subfamily G member 2 (Junior blood group)	ABCG2	4	88090264 	88231417 
PA24410	ATP binding cassette subfamily G member 4	ABCG4	11	119149040 	119162666 
PA24411	ATP binding cassette subfamily G member 5	ABCG5	2	43806154 	43838840 
PA24412	ATP binding cassette subfamily G member 8	ABCG8	2	43831942 	43880051 
PA38459	abhydrolase domain containing 1	ABHD1	2	27123780 	27130812 
PA134978569	abhydrolase domain containing 10	ABHD10	3	111978876 	111993368 
PA38134	abhydrolase domain containing 11	ABHD11	7	73736094 	73738867 
PA25738	abhydrolase domain containing 12	ABHD12	20	25294743 	25390982 
PA162375213	abhydrolase domain containing 12B	ABHD12B	14	50872090 	50904970 
PA134862303	abhydrolase domain containing 13	ABHD13	13	108218415 	108235440 
PA142672659	abhydrolase domain containing 14A	ABHD14A	3	51975026 	51981200 
PA142672660	abhydrolase domain containing 14B	ABHD14B	3	51968510 	51974630 
PA164714659	abhydrolase domain containing 15	ABHD15	17	29560661 	29567024 
PA25266	abhydrolase domain containing 16A	ABHD16A	6	31686949 	31703360 
PA25677	abhydrolase domain containing 16B	ABHD16B	20	63861213 	63862988 
PA134947443	abhydrolase domain containing 17A	ABHD17A	19	1876965 	1885519 
PA143485465	abhydrolase domain containing 17A pseudogene 1	ABHD17AP1	1	148146066 	148149788 
PA162385609	abhydrolase domain containing 17A pseudogene 3	ABHD17AP3	1	214605457 	214609203 
PA162385617	abhydrolase domain containing 17A pseudogene P4	ABHD17AP4	22	20667597 	20671339 
PA162385624	abhydrolase domain containing 17B	ABHD17B	9	71859461 	71911245 
PA162385639	abhydrolase domain containing 17C	ABHD17C	15	80695311 	80755621 
PA147358673	abhydrolase domain containing 18	ABHD18	4	127965256 	128039711 
PA38658	abhydrolase domain containing 2	ABHD2	15	89088150 	89202360 
PA38659	abhydrolase domain containing 3	ABHD3	18	21650897 	21704805 
PA128394705	abhydrolase domain containing 4	ABHD4	14	22598238 	22612864 
PA134891622	abhydrolase domain containing 5	ABHD5	3	43690883 	43722725 
PA134916787	abhydrolase domain containing 6	ABHD6	3	58237502 	58294736 
PA134994313	abhydrolase domain containing 8	ABHD8	19	17292131 	17303473 
PA36144	abl interactor 1	ABI1	10	26746596 	26861087 
PA134977768	abl-interactor 1 pseudogene 1	ABI1P1	14	55546559 	55550363 
PA134977642	abl interactor 2	ABI2	2	203327874 	203432173 
PA134951642	ABI family member 3	ABI3	17	49210227 	49223225 
PA134977769	ABI family member 3 binding protein	ABI3BP	3	100749335 	100993508 
PA25981	actin binding transcription modulator	ABITRAM	9	108934393 	108950745 
PA24413	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	ABL1	9	130713881 	130887675 
PA24414	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	ABL2	1	179099327 	179229693 
PA35023	actin binding LIM protein 1	ABLIM1	10	114431110 	114821643 
PA134940437	actin binding LIM protein family member 2	ABLIM2	4	7965310 	8158832 
PA134962761	actin binding LIM protein family member 3	ABLIM3	5	149141483 	149260439 
PA24415	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	ABO	9	133255176 	133275214 
PA24417	ABR activator of RhoGEF and GTPase	ABR	17	1003518 	1229713 
PA143485290	actin binding Rho activating protein	ABRA	8	106759483 	106770244 
PA134884626	ABRA C-terminal like	ABRACL	6	139028682 	139043302 
PA162387308	"abraxas 1, BRCA1 A complex subunit"	ABRAXAS1	4	83459515 	83485181 
PA162387331	"abraxas 2, BRISC complex subunit"	ABRAXAS2	10	124801785 	124836670 
PA38451	activator of basal transcription 1	ABT1	6	26596943 	26600050 
PA24418	ankyrin repeat and BTB domain containing 1	ABTB1	3	127672928 	127680926 
PA134937734	ankyrin repeat and BTB domain containing 2	ABTB2	11	34150987 	34358008 
PA24419	acetyl-CoA acyltransferase 1	ACAA1	3	38122710 	38137242 
PA24420	acetyl-CoA acyltransferase 2	ACAA2	18	49783504 	49813881 
PA24421	acetyl-CoA carboxylase alpha	ACACA	17	37084992 	37406822 
PA24422	acetyl-CoA carboxylase beta	ACACB	12	109112666 	109268226 
PA134976754	acyl-CoA dehydrogenase family member 10	ACAD10	12	111686053 	111757107 
PA142672658	acyl-CoA dehydrogenase family member 11	ACAD11	3	132558138 	132660131 
PA24423	acyl-CoA dehydrogenase family member 8	ACAD8	11	134253532 	134265858 
PA134900655	acyl-CoA dehydrogenase family member 9	ACAD9	3	128879490 	128916075 
PA24424	acyl-CoA dehydrogenase long chain	ACADL	2	210187990 	210225491 
PA24425	acyl-CoA dehydrogenase medium chain	ACADM	1	75724347 	75763679 
PA24426	acyl-CoA dehydrogenase short chain	ACADS	12	120725738 	120740008 
PA24427	acyl-CoA dehydrogenase short/branched chain	ACADSB	10	123008913 	123058290 
PA24428	acyl-CoA dehydrogenase very long chain	ACADVL	17	7217125 	7225267 
PA24616	aggrecan	ACAN	15	88803442 	88875354 
PA26406	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	ACAP1	17	7336506 	7354944 
PA26407	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	ACAP2	3	195274736 	195443176 
PA26408	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	ACAP3	1	1292384 	1307925 
PA24431	acetyl-CoA acetyltransferase 1	ACAT1	11	108121531 	108148168 
PA19	acetyl-CoA acetyltransferase 2	ACAT2	6	159761957 	159779112 
PA28803	acyl-CoA binding domain containing 3	ACBD3	1	226144679 	226186722 
PA134897893	acyl-CoA binding domain containing 4	ACBD4	17	45132600 	45144181 
PA134892991	acyl-CoA binding domain containing 5	ACBD5	10	27182624 	27248674 
PA134925459	acyl-CoA binding domain containing 6	ACBD6	1	180269663 	180502967 
PA134884059	acyl-CoA binding domain containing 7	ACBD7	10	15075475 	15088776 
PA162375284	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS	11	44066118 	44084237 
PA164714805	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	ACCSL	11	43920987 	44060667 
PA134882431	ACD shelterin complex subunit and telomerase recruitment factor	ACD	16	67657512 	67660815 
PA139	angiotensin I converting enzyme	ACE	17	63477061 	63498380 
PA425	angiotensin I converting enzyme 2	ACE2	X	15494525 	15602069 
PA164714838	alkaline ceramidase 1	ACER1	19	6306142 	6360359 
PA164714853	alkaline ceramidase 2	ACER2	9	19408927 	19455173 
PA33256	alkaline ceramidase 3	ACER3	11	76860873 	77026797 
PA20	acetylcholinesterase (Cartwright blood group)	ACHE	7	100889994 	100896133 
PA134912489	apoptotic chromatin condensation inducer 1	ACIN1	14	23058564 	23095614 
PA28451	atypical chemokine receptor 1 (Duffy blood group)	ACKR1	1	159204013 	159206500 
PA26139	atypical chemokine receptor 2	ACKR2	3	42809472 	42867283 
PA162383053	atypical chemokine receptor 3	ACKR3	2	236537131 	236582358 
PA35036	atypical chemokine receptor 4	ACKR4	3	132597237 	132602644 
PA24441	ATP citrate lyase	ACLY	17	41866916 	41930542 
PA134973312	aminocarboxymuconate semialdehyde decarboxylase	ACMSD	2	134838319 	134902906 
PA24442	aconitase 1	ACO1	9	32384603 	32450836 
PA24443	aconitase 2	ACO2	22	41469125 	41528989 
PA162392282	aconitate decarboxylase 1	ACOD1	13	76948559 	76958642 
PA162375318	acyl-CoA thioesterase 1	ACOT1	14	73493021 	73543799 
PA38303	acyl-CoA thioesterase 11	ACOT11	1	54548134 	54634744 
PA142672657	acyl-CoA thioesterase 12	ACOT12	5	81309045 	81394174 
PA165617655	acyl-CoA thioesterase 13	ACOT13	6	24667035 	24705069 
PA142672653	acyl-CoA thioesterase 2	ACOT2	14	73567620 	73575658 
PA142672654	acyl-CoA thioesterase 4	ACOT4	14	73591528 	73595766 
PA162375329	acyl-CoA thioesterase 6	ACOT6	14	73612276 	73619929 
PA142672655	acyl-CoA thioesterase 7	ACOT7	1	6264272 	6393766 
PA33941	acyl-CoA thioesterase 8	ACOT8	20	45841721 	45857409 
PA142672656	acyl-CoA thioesterase 9	ACOT9	X	23701055 	23743290 
PA21	acyl-CoA oxidase 1	ACOX1	17	75941507 	75979434 
PA24444	acyl-CoA oxidase 2	ACOX2	3	58505136 	58537202 
PA24445	"acyl-CoA oxidase 3, pristanoyl"	ACOX3	4	8366263 	8440725 
PA134932567	acyl-CoA oxidase like	ACOXL	2	110732539 	111118571 
PA24446	acid phosphatase 1	ACP1	2	264869 	278283 
PA24447	"acid phosphatase 2, lysosomal"	ACP2	11	47239302 	47248847 
PA24450	acid phosphatase 4	ACP4	19	50790415 	50795224 
PA24448	"acid phosphatase 5, tartrate resistant"	ACP5	19	11574660 	11579008 
PA134930830	"acid phosphatase 6, lysophosphatidic"	ACP6	1	147629658 	147670543 
PA166180560	"acid phosphatase 7, tartrate resistant (putative)"	ACP7		0 	0 
PA24451	acrosin	ACR	22	50738224 	50745299 
PA24452	acrosin binding protein	ACRBP	12	6638076 	6647414 
PA24454	acrosomal vesicle protein 1	ACRV1	11	125672334 	125680898 
PA142672648	acyl-CoA synthetase bubblegum family member 1	ACSBG1	15	78167468 	78234707 
PA142672649	acyl-CoA synthetase bubblegum family member 2	ACSBG2	19	6135633 	6193103 
PA162375338	acyl-CoA synthetase family member 2	ACSF2	17	50426158 	50474845 
PA162375375	acyl-CoA synthetase family member 3	ACSF3	16	89093809 	89160556 
PA27966	acyl-CoA synthetase long chain family member 1	ACSL1	4	184755595 	184826593 
PA27967	acyl-CoA synthetase long chain family member 3	ACSL3	2	222860984 	222944624 
PA27968	acyl-CoA synthetase long chain family member 4	ACSL4	X	109641330 	109733403 
PA27969	acyl-CoA synthetase long chain family member 5	ACSL5	10	112374158 	112428380 
PA27970	acyl-CoA synthetase long chain family member 6	ACSL6	5	131949973 	132012068 
PA25468	acyl-CoA synthetase medium chain family member 1	ACSM1	16	20623235 	20697788 
PA162375402	acyl-CoA synthetase medium chain family member 2A	ACSM2A	16	20451461 	20487669 
PA162375437	acyl-CoA synthetase medium chain family member 2B	ACSM2B	16	20536261 	20576379 
PA34930	acyl-CoA synthetase medium chain family member 3	ACSM3	16	20763990 	20797157 
PA162375472	acyl-CoA synthetase medium chain family member 4	ACSM4	12	7304332 	7328373 
PA162375501	acyl-CoA synthetase medium chain family member 5	ACSM5	16	20409508 	20441333 
PA134905303	acyl-CoA synthetase medium chain family member 6	ACSM6	10	95194200 	95228929 
PA24430	acyl-CoA synthetase short chain family member 1	ACSS1	20	25006230 	25058182 
PA24429	acyl-CoA synthetase short chain family member 2	ACSS2	20	34874942 	34927966 
PA162375534	acyl-CoA synthetase short chain family member 3	ACSS3	12	81078018 	81257795 
PA24455	"actin alpha 1, skeletal muscle"	ACTA1	1	229431245 	229434096 
PA24456	"actin alpha 2, smooth muscle"	ACTA2	10	88935074 	88991397 
PA24457	actin beta	ACTB	7	5527148 	5530601 
PA142672651	actin beta like 2	ACTBL2	5	57480016 	57482809 
PA24459	"actin, beta pseudogene 1"	ACTBP1	X	46287816 	46289206 
PA134888079	"actin, beta pseudogene 10"	ACTBP10	14	18998860 	19000587 
PA24460	"actin, beta pseudogene 2"	ACTBP2	5	77784803 	77786597 
PA24461	"actin, beta pseudogene 3"	ACTBP3	18	59693046 	59693473 
PA24462	"actin, beta pseudogene 4"	ACTBP4	5	131658440 	131660199 
PA24464	"actin, beta pseudogene 6"	ACTBP6	8	84948509 	84950268 
PA24465	"actin, beta pseudogene 7"	ACTBP7	15	43988478 	43990265 
PA24466	"actin, beta pseudogene 8"	ACTBP8	6	88275305 	88277073 
PA24467	"actin, beta pseudogene 9"	ACTBP9	18	62441924 	62443715 
PA162375571	actin alpha cardiac muscle 1	ACTC1	15	34788096 	34795726 
PA24468	actin gamma 1	ACTG1	17	81509971 	81512866 
PA24470	"actin, gamma 1 pseudogene 1"	ACTG1P1	3	139493740 	139495682 
PA24479	"actin, gamma 1 pseudogene 10"	ACTG1P10	X	53141688 	53143984 
PA24471	"actin, gamma 1 pseudogene 2"	ACTG1P2	Y	17756197 	17758298 
PA24472	"actin, gamma 1 pseudogene 3"	ACTG1P3	20	1160509 	1162097 
PA24475	"actin, gamma 1 pseudogene 6"	ACTG1P6	1		
PA24476	"actin, gamma 1 pseudogene 7"	ACTG1P7	1		
PA24477	"actin, gamma 1 pseudogene 8"	ACTG1P8	1		
PA24478	"actin, gamma 1 pseudogene 9"	ACTG1P9	6	46204912 	46206561 
PA24469	"actin gamma 2, smooth muscle"	ACTG2	2	73892966 	73919653 
PA25676	actin like 10	ACTL10	20	33666498 	33668525 
PA134914203	actin like 6A	ACTL6A	3	179562880 	179588405 
PA24482	actin like 6B	ACTL6B	7	100643097 	100656461 
PA24483	actin like 7A	ACTL7A	9	108862228 	108863755 
PA24484	actin like 7B	ACTL7B	9	108854588 	108855995 
PA142672644	actin like 8	ACTL8	1	17755313 	17827063 
PA165392996	actin like 9	ACTL9	19	8697397 	8698830 
PA24	actinin alpha 1	ACTN1	14	68874123 	68979366 
PA25	actinin alpha 2	ACTN2	1	236686454 	236764631 
PA24485	actinin alpha 3 (gene/pseudogene)	ACTN3	11	66546395 	66563329 
PA23	actinin alpha 4	ACTN4	19	38647616 	38730532 
PA134899463	actin related protein 10	ACTR10	14	58200115 	58235636 
PA24486	actin related protein 1A	ACTR1A	10	102479229 	102502755 
PA24487	actin related protein 1B	ACTR1B	2	97655939 	97664098 
PA24488	actin related protein 2	ACTR2	2	65227695 	65271253 
PA24489	actin related protein 3	ACTR3	2	113889934 	113961554 
PA142672645	actin related protein 3B	ACTR3B	7	152759749 	153070979 
PA165617588	actin related protein 3C	ACTR3C	7	149881359 	150325523 
PA134914063	ARP3 actin-related protein 3 homolog (yeast) pseudogene 1	ACTR3P1	14	21585289 	21586280 
PA24490	actin related protein 5	ACTR5	20	38748454 	38772446 
PA134984466	actin related protein 6	ACTR6	12	100200087 	100224425 
PA24491	actin related protein 8	ACTR8	3	53863096 	53882202 
PA142672646	actin related protein T1	ACTRT1	X	128050962 	128052403 
PA142672647	actin related protein T2	ACTRT2	1	3021482 	3022903 
PA166048955	actin related protein T3	ACTRT3	3	169766921 	169769895 
PA24492	activin A receptor type 1	ACVR1	2	157736446 	157875880 
PA24493	activin A receptor type 1B	ACVR1B	12	51951667 	51997079 
PA134908988	activin A receptor type 1C	ACVR1C	2	157526767 	157628887 
PA24494	activin A receptor type 2A	ACVR2A	2	147844517 	147930827 
PA24495	activin A receptor type 2B	ACVR2B	3	38454299 	38493142 
PA24496	activin A receptor like type 1	ACVRL1	12	51906913 	51923361 
PA24497	aminoacylase 1	ACY1	3	51983284 	51989202 
PA134936640	aminoacylase 3	ACY3	11	67642551 	67650829 
PA24499	acylphosphatase 1	ACYP1	14	75053221 	75069483 
PA24500	acylphosphatase 2	ACYP2	2	53970838 	54305300 
PA24503	adenosine deaminase	ADA	20	44619519 	44651758 
PA26382	adenosine deaminase 2	ADA2	22	17178790 	17221854 
PA162375590	adenosine deaminase domain containing 1	ADAD1	4	122378966 	122429815 
PA162375591	adenosine deaminase domain containing 2	ADAD2	16	84191117 	84197166 
PA142672643	adenosine deaminase like	ADAL	15	43330351 	43354555 
PA24505	ADAM metallopeptidase domain 10	ADAM10	15	58595204 	58749978 
PA24506	ADAM metallopeptidase domain 11	ADAM11	17	44759037 	44781846 
PA24507	ADAM metallopeptidase domain 12	ADAM12	10	126012385 	126388558 
PA24510	ADAM metallopeptidase domain 15	ADAM15	1	155051272 	155062776 
PA24512	ADAM metallopeptidase domain 17	ADAM17	2	9488486 	9555820 
PA24513	ADAM metallopeptidase domain 18	ADAM18	8	39584568 	39730064 
PA24514	ADAM metallopeptidase domain 19	ADAM19	5	157477304 	157575823 
PA24504	"ADAM metallopeptidase domain 1A, pseudogene"	ADAM1A	12	111899063 	111901902 
PA24515	ADAM metallopeptidase domain 2	ADAM2	8	39743735 	39838289 
PA24516	ADAM metallopeptidase domain 20	ADAM20	14	70520817 	70564742 
PA134994122	ADAM metallopeptidase domain 20 pseudogene 1	ADAM20P1	14	70468876 	70483756 
PA24517	ADAM metallopeptidase domain 21	ADAM21	14	70452157 	70459905 
PA134948631	ADAM metallopeptidase domain 21 pseudogene 1	ADAM21P1	14	70245753 	70247801 
PA24518	ADAM metallopeptidase domain 22	ADAM22	7	87934143 	88202889 
PA24519	ADAM metallopeptidase domain 23	ADAM23	2	206443544 	206621130 
PA24523	ADAM metallopeptidase domain 28	ADAM28	8	24294040 	24359018 
PA24524	ADAM metallopeptidase domain 29	ADAM29	4	174918358 	174978180 
PA24525	ADAM metallopeptidase domain 30	ADAM30	1	119893533 	119896524 
PA134932610	ADAM metallopeptidase domain 32	ADAM32	8	39107529 	39284917 
PA24526	ADAM metallopeptidase domain 33	ADAM33	20	3667973 	3682131 
PA24527	ADAM metallopeptidase domain 3A (pseudogene)	ADAM3A	8	39451045 	39522989 
PA24528	ADAM metallopeptidase domain 3B (pseudogene)	ADAM3B	16	49517646 	49518352 
PA24530	"ADAM metallopeptidase domain 5, pseudogene"	ADAM5	8	39314663 	39417226 
PA24531	"ADAM metallopeptidase domain 6, pseudogene"	ADAM6	14	105969731 	105972269 
PA24532	ADAM metallopeptidase domain 7	ADAM7	8	24440996 	24509565 
PA24533	ADAM metallopeptidase domain 8	ADAM8	10	133262416 	133276903 
PA24534	ADAM metallopeptidase domain 9	ADAM9	8	38996771 	39105261 
PA24535	ADAM like decysin 1	ADAMDEC1	8	24384285 	24406013 
PA24536	ADAM metallopeptidase with thrombospondin type 1 motif 1	ADAMTS1	21	26836287 	26845409 
PA24537	ADAM metallopeptidase with thrombospondin type 1 motif 10	ADAMTS10	19	8580240 	8610735 
PA24538	ADAM metallopeptidase with thrombospondin type 1 motif 12	ADAMTS12	5	33523535 	33892180 
PA24539	ADAM metallopeptidase with thrombospondin type 1 motif 13	ADAMTS13	9	133414339 	133459403 
PA24540	ADAM metallopeptidase with thrombospondin type 1 motif 14	ADAMTS14	10	70672518 	70762441 
PA24541	ADAM metallopeptidase with thrombospondin type 1 motif 15	ADAMTS15	11	130448876 	130478215 
PA24542	ADAM metallopeptidase with thrombospondin type 1 motif 16	ADAMTS16	5	5140330 	5320304 
PA24543	ADAM metallopeptidase with thrombospondin type 1 motif 17	ADAMTS17	15	99971438 	100342924 
PA24544	ADAM metallopeptidase with thrombospondin type 1 motif 18	ADAMTS18	16	77282128 	77435114 
PA24545	ADAM metallopeptidase with thrombospondin type 1 motif 19	ADAMTS19	5	129460281 	129738683 
PA24546	ADAM metallopeptidase with thrombospondin type 1 motif 2	ADAMTS2	5	179110851 	179345430 
PA134901626	ADAM metallopeptidase with thrombospondin type 1 motif 20	ADAMTS20	12	43352843 	43551971 
PA24547	ADAM metallopeptidase with thrombospondin type 1 motif 3	ADAMTS3	4	72280969 	72568799 
PA24548	ADAM metallopeptidase with thrombospondin type 1 motif 4	ADAMTS4	1	161189725 	161199080 
PA24549	ADAM metallopeptidase with thrombospondin type 1 motif 5	ADAMTS5	21	26917912 	26967120 
PA24550	ADAM metallopeptidase with thrombospondin type 1 motif 6	ADAMTS6	5	65148736 	65482014 
PA24551	ADAM metallopeptidase with thrombospondin type 1 motif 7	ADAMTS7	15	78759203 	78811464 
PA24552	ADAM metallopeptidase with thrombospondin type 1 motif 8	ADAMTS8	11	130404923 	130428993 
PA24553	ADAM metallopeptidase with thrombospondin type 1 motif 9	ADAMTS9	3	64515654 	64688000 
PA24554	ADAMTS like 1	ADAMTSL1	9	17906574 	18910950 
PA134920655	ADAMTS like 2	ADAMTSL2	9	133532164 	133575519 
PA134934525	ADAMTS like 3	ADAMTSL3	15	83654086 	84039842 
PA134879921	ADAMTS like 4	ADAMTSL4	1	150549369 	150560937 
PA134867057	ADAMTS like 5	ADAMTSL5	19	1505018 	1513189 
PA26404	ArfGAP with dual PH domains 1	ADAP1	7	897900 	955407 
PA26405	ArfGAP with dual PH domains 2	ADAP2	17	30921736 	30959193 
PA24555	adenosine deaminase RNA specific	ADAR	1	154582057 	154628016 
PA24556	adenosine deaminase RNA specific B1	ADARB1	21	45074578 	45226563 
PA24557	adenosine deaminase RNA specific B2 (inactive)	ADARB2	10	1177313 	1737476 
PA164723758	ADARB2 antisense RNA 1	ADARB2-AS1	10	1526630 	1556984 
PA24558	adenosine deaminase tRNA specific 1	ADAT1	16	75596879 	75623323 
PA162375592	adenosine deaminase tRNA specific 2	ADAT2	6	143422832 	143450750 
PA162375609	adenosine deaminase tRNA specific 3	ADAT3	19	1905372 	1913447 
PA134861355	aarF domain containing kinase 1	ADCK1	14	77800058 	77933954 
PA134902329	aarF domain containing kinase 2	ADCK2	7	140672928 	140695114 
PA134963849	aarF domain containing kinase 5	ADCK5	8	144373762 	144393242 
PA24559	adenosine deaminase complexing protein 1	ADCP1	6		
PA24560	adenylate cyclase 1	ADCY1	7	45574140 	45723116 
PA162375618	adenylate cyclase 10	ADCY10	1	167809080 	167915556 
PA24561	adenylate cyclase 2	ADCY2	5	7396230 	7830081 
